,judul,tanggal,kategori,deskripsi,deskripsi_tokens,deskripsi_tokens_fdist,deskripsi_tokens_WSW,deskripsi_normalized,deskripsi_tokens_stemmed
0,"Bundling Vision+ dan Telkomsel, Makin Seru Streaming Konten Spesial Juni","Selasa, 28 Juni 2022 - 09:53 WIB",TELCO,di bulan juni ini vision hadir dengan berbagai konten menarik untuk menemani harihari anda lebih seru vision juga mengadakan paket bundling dengan telkomsel,"['di', 'bulan', 'juni', 'ini', 'vision', 'hadir', 'dengan', 'berbagai', 'konten', 'menarik', 'untuk', 'menemani', 'harihari', 'anda', 'lebih', 'seru', 'vision', 'juga', 'mengadakan', 'paket', 'bundling', 'dengan', 'telkomsel']",<FreqDist with 21 samples and 23 outcomes>,"['juni', 'vision', 'hadir', 'konten', 'menarik', 'menemani', 'harihari', 'seru', 'vision', 'mengadakan', 'paket', 'bundling', 'telkomsel']","['juni', 'vision', 'hadir', 'konten', 'menarik', 'menemani', 'harihari', 'seru', 'vision', 'mengadakan', 'paket', 'bundling', 'telkomsel']","['juni', 'vision', 'hadir', 'konten', 'tarik', 'tani', 'harihari', 'seru', 'vision', 'ada', 'paket', 'bundling', 'telkomsel']"
1,"Instagram Down, Pengguna Tumpahkan Keluhan di Twitter","Selasa, 28 Juni 2022 - 09:25 WIB",TELCO,media sosial instagram dilaporkan mengalami gangguan alias down siang ini selasa juni bahkan para pengguna instagram beramairamai mengeluh di twitter,"['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'ini', 'selasa', 'juni', 'bahkan', 'para', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'di', 'twitter']",<FreqDist with 19 samples and 20 outcomes>,"['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'selasa', 'juni', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'twitter']","['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'selasa', 'juni', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'twitter']","['media', 'sosial', 'instagram', 'lapor', 'alami', 'ganggu', 'alias', 'down', 'siang', 'selasa', 'juni', 'guna', 'instagram', 'beramairamai', 'keluh', 'twitter']"
2,"Daftar Kekayaan Sergey Brin, Pendiri Google yang Baru Saja Bercerai","Selasa, 28 Juni 2022 - 09:14 WIB",TELCO,daftar kekayaan sergey brin sebagian besar memang berasal dari google dan alphabet perusahaan teknologi raksasa yang ia dirikan,"['daftar', 'kekayaan', 'sergey', 'brin', 'sebagian', 'besar', 'memang', 'berasal', 'dari', 'google', 'dan', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'yang', 'ia', 'dirikan']",<FreqDist with 18 samples and 18 outcomes>,"['daftar', 'kekayaan', 'sergey', 'brin', 'berasal', 'google', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'dirikan']","['daftar', 'kekayaan', 'sergey', 'brin', 'berasal', 'google', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'dirikan']","['daftar', 'kaya', 'sergey', 'brin', 'asal', 'google', 'alphabet', 'usaha', 'teknologi', 'raksasa', 'diri']"
3,Partai Perindo: Mars Partai Perindo dengan QR Code,,sponsored,lahir dari semangat untuk mengembalikan citacita kemerdekaan partai perindo hadir untuk membangun indonesia menjadi negara bersatu berdaulat adil dan makmur berlandaskan pancasila,"['lahir', 'dari', 'semangat', 'untuk', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'untuk', 'membangun', 'indonesia', 'menjadi', 'negara', 'bersatu', 'berdaulat', 'adil', 'dan', 'makmur', 'berlandaskan', 'pancasila']",<FreqDist with 21 samples and 22 outcomes>,"['lahir', 'semangat', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'membangun', 'indonesia', 'negara', 'bersatu', 'berdaulat', 'adil', 'makmur', 'berlandaskan', 'pancasila']","['lahir', 'semangat', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'membangun', 'indonesia', 'negara', 'bersatu', 'berdaulat', 'adil', 'makmur', 'berlandaskan', 'pancasila']","['lahir', 'semangat', 'kembali', 'citacita', 'merdeka', 'partai', 'perindo', 'hadir', 'bangun', 'indonesia', 'negara', 'satu', 'daulat', 'adil', 'makmur', 'landas', 'pancasila']"
4,"iPhone Paling Laris di Indonesia, Mana yang Sedang Anda Gunakan?","Selasa, 28 Juni 2022 - 08:41 WIB",GADGET,iphone paling laris di indonesia memang menjadi banyak pertanyaan sayangnya apple dan lembaga riset tidak merilis data resmi terkait penjualan apple di indonesia,"['iphone', 'paling', 'laris', 'di', 'indonesia', 'memang', 'menjadi', 'banyak', 'pertanyaan', 'sayangnya', 'apple', 'dan', 'lembaga', 'riset', 'tidak', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'di', 'indonesia']",<FreqDist with 20 samples and 23 outcomes>,"['iphone', 'laris', 'indonesia', 'sayangnya', 'apple', 'lembaga', 'riset', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'indonesia']","['iphone', 'laris', 'indonesia', 'sayangnya', 'apple', 'lembaga', 'riset', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'indonesia']","['iphone', 'laris', 'indonesia', 'sayang', 'apple', 'lembaga', 'riset', 'rilis', 'data', 'resmi', 'kait', 'jual', 'apple', 'indonesia']"
5,"Aplikasi Bawaan HP Xiaomi yang Boleh Dihapus, Jangan Salah Pilih!","Senin, 27 Juni 2022 - 19:20 WIB",GADGET,aplikasi bawaan hp xiaomi yang boleh dihapus penting diketahui oleh mi fans karena faktanya ada banyak aplikasi bawaan pada hp xiaomi yang bisa dihilangkan,"['aplikasi', 'bawaan', 'hp', 'xiaomi', 'yang', 'boleh', 'dihapus', 'penting', 'diketahui', 'oleh', 'mi', 'fans', 'karena', 'faktanya', 'ada', 'banyak', 'aplikasi', 'bawaan', 'pada', 'hp', 'xiaomi', 'yang', 'bisa', 'dihilangkan']",<FreqDist with 19 samples and 24 outcomes>,"['aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihapus', 'mi', 'fans', 'faktanya', 'aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihilangkan']","['aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihapus', 'mi', 'fans', 'faktanya', 'aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihilangkan']","['aplikasi', 'bawa', 'hp', 'xiaomi', 'hapus', 'mi', 'fans', 'fakta', 'aplikasi', 'bawa', 'hp', 'xiaomi', 'hilang']"
6,"Aplikasi iPhone Terbaik yang Wajib Dimiliki, Download Sekarang Juga!","Senin, 27 Juni 2022 - 18:58 WIB",GADGET,aplikasi iphone terbaik yang wajib dimiliki perlu diketahui pengguna ios tentu saja agar mereka bisa mengoptimalkan penggunaan perangkat mereka juga bisa mendapatkan benefit dari berbagai aplikasi yang menarik,"['aplikasi', 'iphone', 'terbaik', 'yang', 'wajib', 'dimiliki', 'perlu', 'diketahui', 'pengguna', 'ios', 'tentu', 'saja', 'agar', 'mereka', 'bisa', 'mengoptimalkan', 'penggunaan', 'perangkat', 'mereka', 'juga', 'bisa', 'mendapatkan', 'benefit', 'dari', 'berbagai', 'aplikasi', 'yang', 'menarik']",<FreqDist with 24 samples and 28 outcomes>,"['aplikasi', 'iphone', 'terbaik', 'wajib', 'dimiliki', 'pengguna', 'ios', 'mengoptimalkan', 'penggunaan', 'perangkat', 'benefit', 'aplikasi', 'menarik']","['aplikasi', 'iphone', 'terbaik', 'wajib', 'dimiliki', 'pengguna', 'ios', 'mengoptimalkan', 'penggunaan', 'perangkat', 'benefit', 'aplikasi', 'menarik']","['aplikasi', 'iphone', 'baik', 'wajib', 'milik', 'guna', 'ios', 'optimal', 'guna', 'perangkat', 'benefit', 'aplikasi', 'tarik']"
7,Cara Menyembunyikan Last Seen WhatsApp dari Kontak Tertentu,"Senin, 27 Juni 2022 - 18:20 WIB",TELCO,cara menyembunyikan last seen whatsapp dari kontak tertentu penting diketahui sebab fitur ini erat hubungannya dengan privasi,"['cara', 'menyembunyikan', 'last', 'seen', 'whatsapp', 'dari', 'kontak', 'tertentu', 'penting', 'diketahui', 'sebab', 'fitur', 'ini', 'erat', 'hubungannya', 'dengan', 'privasi']",<FreqDist with 17 samples and 17 outcomes>,"['menyembunyikan', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubungannya', 'privasi']","['menyembunyikan', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubungannya', 'privasi']","['sembunyi', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubung', 'privasi']"
8,"10 Aplikasi Khusus Xiaomi Terbaik dan Gratis, Sangat Bermanfaat","Senin, 27 Juni 2022 - 16:20 WIB",GADGET,aplikasi khusus xiaomi terbaik dan gratis ini bisa jadi rekomendasi bagi pengguna untuk berekspresi xiaomi memang menjadi smartphone yang banyak dimiliki orang karena spesifikasinya yang tangguh,"['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'dan', 'gratis', 'ini', 'bisa', 'jadi', 'rekomendasi', 'bagi', 'pengguna', 'untuk', 'berekspresi', 'xiaomi', 'memang', 'menjadi', 'smartphone', 'yang', 'banyak', 'dimiliki', 'orang', 'karena', 'spesifikasinya', 'yang', 'tangguh']",<FreqDist with 24 samples and 26 outcomes>,"['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'gratis', 'rekomendasi', 'pengguna', 'berekspresi', 'xiaomi', 'smartphone', 'dimiliki', 'orang', 'spesifikasinya', 'tangguh']","['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'gratis', 'rekomendasi', 'pengguna', 'berekspresi', 'xiaomi', 'smartphone', 'dimiliki', 'orang', 'spesifikasinya', 'tangguh']","['aplikasi', 'khusus', 'xiaomi', 'baik', 'gratis', 'rekomendasi', 'guna', 'ekspres', 'xiaomi', 'smartphone', 'milik', 'orang', 'spesifikasi', 'tangguh']"
9,Penyebab dan Cara Mengatasi WhatsApp Tidak Bisa Mengirim Pesan,"Senin, 27 Juni 2022 - 14:32 WIB",TELCO,penyebab dan cara mengatasi whatsapp tidak bisa mengirim pesan perlu diketahui agar komunikasi bisa terjalin lancar,"['penyebab', 'dan', 'cara', 'mengatasi', 'whatsapp', 'tidak', 'bisa', 'mengirim', 'pesan', 'perlu', 'diketahui', 'agar', 'komunikasi', 'bisa', 'terjalin', 'lancar']",<FreqDist with 15 samples and 16 outcomes>,"['penyebab', 'mengatasi', 'whatsapp', 'mengirim', 'pesan', 'komunikasi', 'terjalin', 'lancar']","['penyebab', 'mengatasi', 'whatsapp', 'mengirim', 'pesan', 'komunikasi', 'terjalin', 'lancar']","['sebab', 'atas', 'whatsapp', 'kirim', 'pesan', 'komunikasi', 'jalin', 'lancar']"
